HANDLE	BLOCKNAME	ID	MARCA	PUESTO	TIEMPO_DE_USO	POSICION	PC_ACTUALES
'2630	Televisor	1	Samsung	<>	<>	<>	<>
'2581	mouse	22	Logitech	29	3	<>	<>
'257B	mouse	20	Logitech	27	3	<>	<>
'2575	mouse	18	Logitech	25	3	<>	<>
'256F	mouse	16	Logitech	23	3	<>	<>
'2569	mouse	14	Logitech	21	3	<>	<>
'255D	mouse	23	Logitech	30	3	<>	<>
'2557	mouse	21	Logitech	28	3	<>	<>
'2551	mouse	19	Logitech	26	3	<>	<>
'254B	mouse	17	Logitech	24	3	<>	<>
'2545	mouse	15	Logitech	22	3	<>	<>
'253F	mouse	13	Logitech	20	3	<>	<>
'2539	Keyboard	22	Logitech	29	3	<>	<>
'2533	Keyboard	20	Logitech	27	3	<>	<>
'252D	Keyboard	18	Logitech	25	3	<>	<>
'2527	Keyboard	16	Logitech	23	3	<>	<>
'2521	Keyboard	14	Logitech	21	3	<>	<>
'2515	Keyboard	23	Logitech	30	3	<>	<>
'250F	Keyboard	21	Logitech	28	3	<>	<>
'2509	Keyboard	19	Logitech	26	3	<>	<>
'2503	Keyboard	17	Logitech	24	3	<>	<>
'24FD	Keyboard	15	Logitech	22	3	<>	<>
'24F7	Keyboard	13	Logitech	20	3	<>	<>
'24F2	Silla	31	Homecenter	32	<>	<>	<>
'24ED	Silla	29	Homecenter	30	<>	<>	<>
'24E8	Silla	27	Homecenter	28	<>	<>	<>
'24E3	Silla	25	Homecenter	26	<>	<>	<>
'24DE	Silla	23	Homecenter	24	<>	<>	<>
'24D9	Silla	21	Homecenter	22	<>	<>	<>
'24D4	Silla	19	Homecenter	20	<>	<>	<>
'24CF	Silla	17	Homecenter	18	<>	<>	<>
'24C5	Silla	30	Homecenter	31	<>	<>	<>
'24C0	Silla	28	Homecenter	29	<>	<>	<>
'24BB	Silla	26	Homecenter	27	<>	<>	<>
'24B6	Silla	24	Homecenter	25	<>	<>	<>
'24B1	Silla	22	Homecenter	23	<>	<>	<>
'24AC	Silla	20	Homecenter	21	<>	<>	<>
'24A7	Silla	18	Homecenter	19	<>	<>	<>
